User_Id,Name,Rating
1,45,5
1,8695,5
1,87246,5
1,76932,5
1,59715,5
1,76933,5
1,76934,5
1,41131,3
1,76799,5
1,76963,5
1,85302,4
1,15245,5
1,74829,3
1,5,5
1,1202,4
1,3750,4
1,27457,4
1,13148,3
1,99474,4
1,77472,5
1,92667,5
1,37609,3
1,2654,5
1,11129,4
1,38300,5
1,3,5
1,30132,5
1,79060,5
1,79037,5
1,10365,5
1,11289,5
1,19707,3
1,10148,4
1,95420,5
1,66406,4
1,1885,5
1,41619,4
1,77705,4
1,91973,5
1,45480,4
1,7747,3
1,89476,4
1,49226,4
1,77997,5
1,24816,5
1,77158,3
1,10853,4
1,54812,3
1,91492,5
1,53732,5
1,43998,3
1,13499,5
1,90843,5
1,34497,3
1,19691,4
1,1004,5
1,10147,5
1,106,4
1,103,4
1,77522,5
1,19542,5
1,2262,5
1,26973,4
1,1371,4
1,77507,4
1,2749,4
1,40955,5
1,41653,3
1,13109,4
1,29691,4
1,77013,2
1,7869,4
1,4382,5
1,5560,3
1,38840,4
1,15770,4
1,22328,4
1,18646,5
1,17214,4
1,18699,5
1,14497,4
1,77432,5
1,1845,3
1,5043,5
1,43244,5
1,99118,4
1,5907,5
1,30,5
1,80727,4
1,117,4
1,9739,4
1,3368,4
1,14,5
1,816,5
1,2052,5
1,2265,5
1,16793,5
1,3759,4
1,830,4
1,493,4
1,65520,2
1,122,5
1,5107,5
1,2102,4
1,828,2
1,4099,5
1,8127,5
1,81638,5
1,19675,3
1,4395,3
1,96667,2
1,50,5
1,5720,3
1,94964,5
1,5102,4
1,83479,5
1,1305,5
1,19743,5
1,7661,3
1,41643,4
1,32349,4
1,79589,5
1,33507,5
1,41786,4
1,7009,4
1,1898,4
1,19764,4
1,19687,3
1,4900,3
1,3388,5
1,77201,4
1,8714,4
1,3977,4
1,31,5
1,112,4
1,4609,4
1,2574,5
1,12,5
1,5470,5
1,840,5
1,77684,5
1,82841,2
1,48131,5
1,97720,4
1,77347,5
1,856,3
1,87976,5
1,2550,4
1,3758,5
1,2956,5
1,5064,5
1,4944,5
1,85009,4
1,74125,3
1,93681,3
1,77204,5
1,7668,3
1,24818,5
1,93124,5
1,8648,4
1,18455,3
1,22199,4
1,8844,5
1,48291,5
1,5215,4
1,1843,3
1,105,4
1,975,2
1,19321,5
1,7190,5
1,31139,4
1,2199,5
1,78991,5
1,84943,5
1,7679,3
1,38296,5
1,6310,5
1,98110,4
1,77585,5
1,4648,4
1,77427,4
1,18135,4
1,77473,5
1,48564,4
1,2430,4
1,34993,4
1,2612,4
1,10819,5
1,34856,4
1,91878,5
1,35054,3
1,2256,4
1,41147,4
1,37684,5
1,26899,4
1,19494,5
1,43944,4
1,2140,4
1,76953,5
1,84980,3
1,32542,2
1,664,5
1,6,5
1,76942,5
1,14016,4
1,71643,5
1,3590,5
1,39988,5
1,76948,5
1,1226,5
1,32682,5
1,99107,5
1,864,5
1,6794,4
1,2895,4
1,86630,4
1,24131,3
1,98233,5
1,77431,4
1,890,5
1,86659,3
1,3869,4
1,2618,4
1,7125,5
1,2996,5
1,77430,5
1,4,4
1,969,4
1,9734,5
1,19668,3
1,41804,5
1,5544,5
1,9339,3
1,43536,4
1,835,4
1,96646,5
1,54499,3
1,69571,4
1,92671,5
1,78173,4
1,7062,4
2,14046,5
2,6903,4
2,3758,5
2,30003,4
2,1885,5
2,5759,5
2,6527,3
2,89691,5
2,76920,4
2,7190,5
2,2052,4
2,3,5
2,1226,5
2,42916,5
2,1540,3
2,104,5
2,122,5
2,85302,4
2,33507,4
2,12,4
2,77347,5
2,8810,5
2,968,5
2,88990,5
2,99105,5
2,6534,4
2,1986,5
3,563,4
3,1633,4
3,4739,3
3,43240,3
3,1078,5
3,776,4
3,61535,5
3,43239,1
3,43245,5
3,43236,3
3,46084,4
3,35289,4
3,4623,3
3,41870,2
3,8844,5
3,43244,4
4,37684,4
4,65605,4
5,2996,5
5,87712,5
5,82192,4
5,45312,3
5,2974,4
5,77129,5
5,46199,5
5,6612,3
5,14891,5
5,24579,5
5,19501,3
5,18405,3
5,24280,5
5,864,5
5,11852,5
5,929,5
5,29044,5
5,43944,4
5,77714,5
5,76778,5
5,6862,5
5,9653,5
5,13039,5
5,5137,5
5,7763,4
5,35708,4
5,6882,5
5,23856,5
5,9734,5
5,37740,3
5,15997,4
5,5544,5
5,7036,4
5,3107,4
5,29744,5
5,91244,3
5,85635,5
5,968,4
5,43132,5
5,1618,3
5,39988,4
5,77430,4
5,10592,3
5,44559,3
5,2804,5
5,1226,5
5,7062,5
5,9529,3
5,7717,5
5,32533,3
5,3782,4
5,24058,5
5,98906,5
5,6644,3
5,34268,4
5,37272,5
5,9206,3
5,28351,4
5,3776,5
5,104,1
5,91910,5
5,90843,5
5,26128,3
5,2530,4
5,77770,5
5,12874,4
5,3067,5
5,58922,5
5,93124,4
5,2895,5
5,6671,5
5,4408,5
5,6794,5
5,3759,3
5,14507,4
5,71301,5
5,23426,5
5,3398,4
5,2443,4
5,77158,3
5,3711,5
5,3480,5
5,95420,5
5,2802,5
5,66406,4
5,6678,5
5,13235,5
5,31314,5
5,46204,4
5,19330,3
5,9230,5
5,5890,4
5,94557,5
5,18373,4
5,99105,4
5,19314,5
5,5933,5
5,3074,4
5,3565,5
5,38752,5
5,3562,5
5,42916,5
5,6200,4
5,3569,5
5,33514,5
5,32901,5
5,24137,5
5,10819,5
5,18135,4
5,77473,4
5,2834,4
5,88418,5
5,11587,3
5,46064,3
5,92284,5
5,5513,5
5,3774,5
5,43138,5
5,80670,3
5,29641,5
5,14046,3
5,62111,5
5,56351,3
5,58654,5
5,13023,5
5,903,5
5,18423,4
5,3413,5
5,99145,5
5,91609,5
5,24054,5
5,3409,2
5,11035,5
5,77104,3
5,88811,5
5,14286,4
5,82354,4
5,6310,5
5,41432,5
5,6895,3
5,55876,3
5,7190,5
5,19321,5
5,4436,4
5,8841,4
5,17722,3
5,31139,4
5,8852,5
5,8844,5
5,10215,5
5,41363,5
5,44905,5
5,77204,5
5,40493,3
5,39045,4
5,6614,3
5,4069,5
5,46181,4
5,76355,4
5,6952,4
5,17176,5
5,4627,5
5,3758,4
5,2956,5
5,34177,5
5,31120,5
5,77769,4
5,8337,4
5,19075,5
5,94953,3
5,89338,5
5,48131,5
5,3102,5
5,43141,5
5,19350,4
5,11712,3
5,48291,5
5,34040,5
5,10,4
5,40189,4
5,19494,3
5,2550,4
5,18384,5
5,97632,3
5,19400,4
5,96573,5
5,77768,4
5,1935,4
5,99356,4
5,8282,4
5,77554,5
5,3388,5
5,7243,5
5,12960,5
5,21005,3
5,49098,5
5,25052,4
5,30868,4
5,25051,4
5,9822,5
5,61549,5
5,84981,3
5,7009,4
5,92230,5
5,87519,3
5,77201,5
5,79589,4
5,41865,3
5,2696,4
5,39926,5
5,42384,5
5,83479,5
5,94964,4
5,8127,5
5,23204,3
5,81638,5
5,99319,4
5,4395,3
5,61582,4
5,50,5
5,10453,4
5,7061,3
5,286,5
5,9804,5
5,5107,5
5,3796,2
